S. No.,Date,Month,Year,BSE Sensex Clsoing Price,Daily New Cases,Daily New Deaths,Daily New Cured,Complete LockDown imposed (Yes(1)/No(0)),Lockdown,Phase 1,Phase 2,Phase 3,Phase 4,Wave,People fully Vaccinated,CPI,Crude oil price,FII,DII,Exchange rate,Economic growth rate,Inflation,Repo,Reverse repo,IIP,Nasdaq
1,12-03-2020,3,2020,32778.14,0,0,0,0,0,0,0,0,0,1,0,148.6,31.5,-3475.29,3918.24,74.25,-7.97,5.5,4.4,4,117.2,7201.799805
2,13-03-2020,3,2020,34103.48,1,1,0,0,0,0,0,0,0,1,0,148.6,31.73,-6027.58,5867.9,73.86,-7.97,5.5,4.4,4,117.2,7874.879883
5,16-03-2020,3,2020,31390.07,7,0,3,0,0,0,0,0,0,1,0,148.6,28.7,-3809.93,2614.54,74.01,-7.97,5.5,4.4,4,117.2,6904.589844
6,17-03-2020,3,2020,30579.09,23,1,1,0,0,0,0,0,0,1,0,148.6,26.95,-4044.69,3422.12,74.26,-7.97,5.5,4.4,4,117.2,7334.779785
7,18-03-2020,3,2020,28869.51,9,0,0,0,0,0,0,0,0,1,0,148.6,20.37,-5085.35,3636.44,74.55,-7.97,5.5,4.4,4,117.2,6989.839844
8,19-03-2020,3,2020,28288.23,20,0,1,0,0,0,0,0,0,1,0,148.6,25.22,-4622.93,4367.43,74.78,-7.97,5.5,4.4,4,117.2,7150.580078
9,20-03-2020,3,2020,29915.96,29,1,5,0,0,0,0,0,0,1,0,148.6,22.43,-3806.11,2724.835,75.31,-7.97,5.5,4.4,4,117.2,6879.52002
12,23-03-2020,3,2020,25981.24,73,0,0,0,0,0,0,0,0,1,0,148.6,23.36,-2989.29,1082.24,76.29,-7.97,5.5,4.4,4,117.2,6860.669922
13,24-03-2020,3,2020,26674.03,59,2,13,0,0,0,0,0,0,1,0,148.6,24.01,-2153.35,1553.66,76.37,-7.97,5.5,4.4,4,117.2,7417.859863
14,25-03-2020,3,2020,28535.78,27,1,3,1,0,0,0,0,0,1,0,148.6,24.49,-1893.36,737.98,76.36,-7.97,5.5,4.4,4,117.2,7384.299805
15,26-03-2020,3,2020,29946.77,130,3,3,1,0,0,0,0,0,1,0,148.6,22.6,-484.78,-769.93,74.89,-7.97,5.5,4.4,4,117.2,7797.540039
16,27-03-2020,3,2020,29815.59,75,4,24,1,0,0,0,0,0,1,0,148.6,21.51,355.78,1703.72,75.47,-7.97,5.5,4.4,4,117.2,7502.379883
19,30-03-2020,3,2020,28440.32,92,4,13,1,0,0,0,0,0,1,0,148.6,20.09,-4363.61,3550.33,75.33,-7.97,5.5,4.4,4,117.2,7774.149902
20,31-03-2020,3,2020,29468.49,326,6,24,1,0,0,0,0,0,1,0,148.6,20.48,-3044.94,3576.23,75.39,-7.97,5.5,4.4,4,117.2,7700.100098
21,01-04-2020,4,2020,28265.31,240,3,9,1,0,0,0,0,0,1,0,151.4,20.31,-1116.79,-450.36,76.4,-7.97,5.45,4.4,4,54,7360.580078
23,03-04-2020,4,2020,27590.95,336,6,6,1,0,0,0,0,0,1,0,151.4,28.34,-1960.97,226.55,76.24,-7.97,5.45,4.4,4,54,7373.080078
27,07-04-2020,4,2020,30067.21,354,5,34,1,0,0,0,0,0,1,0,151.4,23.63,741.77,422.51,75.64,-7.97,5.45,4.4,4,54,7887.259766
28,08-04-2020,4,2020,29893.96,773,35,76,1,0,0,0,0,0,1,0,151.4,25.09,1943.41,-1757.79,75.96,-7.97,5.45,4.4,4,54,8090.899902
29,09-04-2020,4,2020,31159.62,540,17,71,1,0,0,0,0,0,1,0,151.4,22.76,1737.62,-466.02,76.3,-7.97,5.45,4.4,4,54,8153.580078
33,13-04-2020,4,2020,30690.02,796,35,141,1,0,0,0,0,0,1,0,151.4,22.41,-1243.74,-1096.89,76.25,-7.97,5.45,4.4,4,54,8192.419922
35,15-04-2020,4,2020,30379.81,1076,38,270,1,0,0,0,0,0,1,0,151.4,19.87,1358.66,-1097.86,76.56,-7.97,5.45,4.4,4,54,8393.179688
36,16-04-2020,4,2020,30602.61,941,37,183,1,0,0,0,0,0,1,0,151.4,19.87,-2920.36,1321.44,76.75,-7.97,5.45,4.4,4,54,8532.360352
37,17-04-2020,4,2020,31588.72,1007,23,260,1,0,0,0,0,0,1,0,151.4,18.27,-1391.98,534.24,76.56,-7.97,5.45,4.4,3.75,54,8650.139648
40,20-04-2020,4,2020,31648,1553,36,316,1,0,0,0,0,0,1,0,151.4,-37.63,-265.89,-788.87,76.56,-7.97,5.45,4.4,3.75,54,8560.730469
41,21-04-2020,4,2020,30636.71,1336,47,705,1,0,0,0,0,0,1,0,151.4,10.01,-2095.23,-68.46,76.95,-7.97,5.45,4.4,3.75,54,8263.230469
42,22-04-2020,4,2020,31379.55,1383,50,618,1,0,0,0,0,0,1,0,151.4,13.78,-1326.09,863.82,76.44,-7.97,5.45,4.4,3.75,54,8495.379883
