,Sno,Price,Cases,Deaths,Cured,Lockdown,Wave,Vaccine,CPI,OilPrice,FII,DII,erate,egr,inflation,repo,r_repo,IIP,Nasdaq
Sno,1,0.968398252,0.466130266,0.501281603,0.513749245,-0.554210122,0.832148078,0.648060113,0.908335316,0.907375239,0.024539157,-0.040439917,-0.62213108,0.854233827,0.078608413,-0.587700375,-0.580816955,0.506815206,0.962981102
Price,0.968398252,1,0.354460752,0.386918913,0.404438454,-0.600227146,0.781214751,0.52950992,0.858324642,0.892202444,0.103372025,-0.143500636,-0.712578113,0.84844675,-0.040792559,-0.6231232,-0.614005079,0.594081095,0.973814562
Cases,0.466130266,0.354460752,1,0.817210025,0.911649819,-0.280141818,0.45425554,0.430470988,0.442663208,0.400052083,-0.099581492,0.085185685,-0.215743861,0.376148295,0.197695692,-0.2843803,-0.276861225,0.132528019,0.40850356
Deaths,0.501281603,0.386918913,0.817210025,1,0.918978794,-0.281546472,0.455894245,0.367808241,0.526430849,0.45301025,-0.076506945,0.055113467,-0.257960112,0.369522184,0.422949662,-0.293411143,-0.287577934,0.050753418,0.413583876
Cured,0.513749245,0.404438454,0.911649819,0.918978794,1,-0.287959954,0.462157195,0.355683798,0.53298063,0.438209998,-0.062981898,0.032211517,-0.32532308,0.388387856,0.368603567,-0.288311302,-0.279852465,0.108611954,0.426026638
Lockdown,-0.554210122,-0.600227146,-0.280141818,-0.281546472,-0.287959954,1,-0.295608464,-0.191130414,-0.593351719,-0.580497049,-0.010225927,0.154455818,0.597753766,-0.334143587,0.002828704,0.763936376,0.685301596,-0.770462892,-0.615330565
Wave,0.832148078,0.781214751,0.45425554,0.455894245,0.462157195,-0.295608464,1,0.646566106,0.618678043,0.787304088,-0.081695403,0.199328109,-0.425767589,0.884674959,0.25927358,-0.291957335,-0.282687342,0.242797119,0.746936244
Vaccine,0.648060113,0.52950992,0.430470988,0.367808241,0.355683798,-0.191130414,0.646566106,1,0.578152173,0.597691523,-0.179802496,0.250996406,-0.042759093,0.572000843,0.191081115,-0.188769717,-0.182776054,0.048558975,0.553227202
CPI,0.908335316,0.858324642,0.442663208,0.526430849,0.53298063,-0.593351719,0.618678043,0.578152173,1,0.780313172,0.096620254,-0.206856726,-0.582509839,0.601415388,0.20975269,-0.645810153,-0.644242911,0.463273229,0.883720754
OilPrice,0.907375239,0.892202444,0.400052083,0.45301025,0.438209998,-0.580497049,0.787304088,0.597691523,0.780313172,1,0.002668247,0.027818511,-0.584167622,0.820943706,0.080336453,-0.623872174,-0.593080477,0.534650456,0.890755379
FII,0.024539157,0.103372025,-0.099581492,-0.076506945,-0.062981898,-0.010225927,-0.081695403,-0.179802496,0.096620254,0.002668247,1,-0.454800823,-0.143003802,-0.074650712,-0.148823787,-0.184100874,-0.215132031,0.110779149,0.106245819
DII,-0.040439917,-0.143500636,0.085185685,0.055113467,0.032211517,0.154455818,0.199328109,0.250996406,-0.206856726,0.027818511,-0.454800823,1,0.201661216,0.157841547,0.208402734,0.305161995,0.337211285,-0.193116093,-0.161246255
erate,-0.62213108,-0.712578113,-0.215743861,-0.257960112,-0.32532308,0.597753766,-0.425767589,-0.042759093,-0.582509839,-0.584167622,-0.143003802,0.201661216,1,-0.529753536,-0.018748917,0.542992883,0.511838777,-0.731127645,-0.668521945
egr,0.854233827,0.84844675,0.376148295,0.369522184,0.388387856,-0.334143587,0.884674959,0.572000843,0.601415388,0.820943706,-0.074650712,0.157841547,-0.529753536,1,0.049979141,-0.330016501,-0.319538085,0.342939694,0.80243368
inflation,0.078608413,-0.040792559,0.197695692,0.422949662,0.368603567,0.002828704,0.25927358,0.191081115,0.20975269,0.080336453,-0.148823787,0.208402734,-0.018748917,0.049979141,1,0.050976688,0.064665248,-0.245926016,-0.049348527
repo,-0.587700375,-0.6231232,-0.2843803,-0.293411143,-0.288311302,0.763936376,-0.291957335,-0.188769717,-0.645810153,-0.623872174,-0.184100874,0.305161995,0.542992883,-0.330016501,0.050976688,1,0.968248811,-0.69733373,-0.700549652
r_repo,-0.580816955,-0.614005079,-0.276861225,-0.287577934,-0.279852465,0.685301596,-0.282687342,-0.182776054,-0.644242911,-0.593080477,-0.215132031,0.337211285,0.511838777,-0.319538085,0.064665248,0.968248811,1,-0.630499744,-0.707527699
IIP,0.506815206,0.594081095,0.132528019,0.050753418,0.108611954,-0.770462892,0.242797119,0.048558975,0.463273229,0.534650456,0.110779149,-0.193116093,-0.731127645,0.342939694,-0.245926016,-0.69733373,-0.630499744,1,0.587618253
Nasdaq,0.962981102,0.973814562,0.40850356,0.413583876,0.426026638,-0.615330565,0.746936244,0.553227202,0.883720754,0.890755379,0.106245819,-0.161246255,-0.668521945,0.80243368,-0.049348527,-0.700549652,-0.707527699,0.587618253,1
